title,view_count,channel
ROSÉ & Bruno Mars - APT. (Official Music Video),2009014557,ROSÉ
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",1324833300,Lady Gaga
Billie Eilish - BIRDS OF A FEATHER (Official Music Video),558329099,Billie Eilish
Sabrina Carpenter - Espresso,472570966,Sabrina Carpenter
Kendrick Lamar - Not Like Us,397228595,Kendrick Lamar
Shaboozey - A Bar Song (Tipsy) [Official Visualizer],288277902,Shaboozey
Sabrina Carpenter - Please Please Please,253618903,Sabrina Carpenter
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),236500879,Sevdaliza
Sabrina Carpenter - Taste (Official Video),210275500,Sabrina Carpenter
Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video),209840684,Post Malone
